COD_ORIGEM,COD_DESTINO,DISTANCIA_KM,CUSTO_DESLOCAMENTO
2801900,2801207,123.33,308.32
2801900,2801306,37.48,93.7
2801900,2801405,89.21,223.02
2801900,2801702,188.19,470.48
2801900,2802106,139.61,349.03
2801900,2802304,73.01,182.53
2801900,2802908,66.7,166.75
2801900,2803005,192.2,480.5
2801900,2803203,106.52,266.3
2801900,2803500,105.77,264.43
2801900,2803609,71.31,178.28
2801900,2804508,44.3,110.75
2801900,2804607,18.57,46.42
2801900,2804805,82.1,205.25
2801900,2805406,97.15,242.88
2801900,2805604,99.08,247.7
2801900,2805703,85.43,213.58
2801900,2806701,95.79,239.48
2801900,2807105,119.47,298.68
2801900,2807402,164.59,411.48
2801900,2807600,172.3,430.75
2802007,2800308,41.32,103.3
2802007,2800605,44.67,111.68
2802007,2800670,103.71,259.27
2802007,2801009,58.25,145.62
2802007,2801207,157.16,392.9
2802007,2801306,28.77,71.92
2802007,2801405,99.61,249.03
2802007,2801702,138.93,347.33
2802007,2802106,90.36,225.9
2802007,2802304,66.14,165.35
2802007,2802908,47.95,119.88
2802007,2803005,142.94,357.35
2802007,2803203,57.26,143.15
2802007,2803500,84.61,211.53
2802007,2803609,22.05,55.12
2802007,2804508,78.13,195.32
2802007,2804607,30.4,76.0
2802007,2804805,32.84,82.1
2802007,2805406,130.99,327.48
2802007,2805604,132.92,332.3
2802007,2805703,80.83,202.07
2802007,2806701,46.54,116.35
2802007,2807105,112.61,281.52
2802007,2807402,143.42,358.55
2802007,2807600,123.04,307.6
2802106,2800308,69.81,174.53
2802106,2800605,74.49,186.22
2802106,2800670,29.83,74.57
2802106,2801009,90.98,227.45
2802106,2801207,249.88,624.7
2802106,2801306,122.37,305.93
2802106,2801405,162.98,407.45
2802106,2801702,52.18,130.45
2802106,2802304,129.51,323.77
2802106,2802908,106.35,265.88
2802106,2803005,56.19,140.47
2802106,2803203,34.89,87.22
2802106,2803500,64.33,160.82
2802106,2803609,73.67,184.18
2802106,2804508,170.85,427.12
2802106,2804607,123.12,307.8
2802106,2804805,71.76,179.4
2802106,2805406,223.71,559.27
2802106,2805604,225.64,564.1
2802106,2805703,151.11,377.78
2802106,2806701,57.42,143.55
2802106,2807105,93.21,233.02
2802106,2807402,91.65,229.12
2802106,2807600,36.29,90.72
2802205,2800308,104.23,260.57
2802205,2800605,103.74,259.35
2802205,2800670,143.9,359.75
2802205,2801009,82.61,206.53
2802205,2801207,97.81,244.53
2802205,2801306,51.13,127.83
2802205,2801405,63.7,159.25
2802205,2801702,201.85,504.62
2802205,2802106,153.27,383.18
2802205,2802304,55.86,139.65
2802205,2802908,75.28,188.2
2802205,2803005,176.11,440.28
2802205,2803203,120.18,300.45
2802205,2803500,108.97,272.43
2802205,2803609,84.96,212.4
2802205,2804508,18.78,46.95
2802205,2804607,32.23,80.57
2802205,2804805,95.76,239.4
2802205,2805406,71.64,179.1
2802205,2805604,73.57,183.92
2802205,2805703,82.0,205.0
2802205,2806701,109.45,273.62
2802205,2807105,121.88,304.7
2802205,2807402,167.78,419.45
2802205,2807600,185.96,464.9
2802304,2800308,78.98,197.45
2802304,2800605,82.33,205.82
2802304,2800670,94.87,237.18
2802304,2801009,33.58,83.95
2802304,2801207,129.06,322.65
2802304,2801306,75.38,188.45
2802304,2801405,36.65,91.62
2802304,2801702,141.87,354.68
2802304,2802106,128.39,320.97
2802304,2802908,26.25,65.62
2802304,2803005,127.08,317.7
2802304,2803203,95.3,238.25
2802304,2803500,59.93,149.82
2802304,2803609,67.52,168.8
2802304,2804508,50.03,125.08
2802304,2804607,56.02,140.05
2802304,2804805,77.02,192.55
2802304,2805406,102.88,257.2
2802304,2805604,104.81,262.02
2802304,2805703,123.33,308.32
2802304,2806701,84.2,210.5
2802304,2807105,49.65,124.12
2802304,2807402,118.75,296.88
2802304,2807600,125.98,314.95
2802403,2800308,154.61,386.53
2802403,2800605,154.11,385.28
2802403,2800670,217.0,542.5
2802403,2801009,113.69,284.23
2802403,2801207,111.85,279.62
2802403,2801306,106.74,266.85
2802403,2801405,89.9,224.75
2802403,2801702,252.22,630.55
2802403,2802106,203.64,509.1
2802403,2802304,86.94,217.35
2802403,2802908,106.36,265.9
2802403,2803005,256.23,640.58
2802403,2803203,170.55,426.38
2802403,2803500,140.04,350.1
2802403,2803609,135.33,338.33
2802403,2804508,44.99,112.48
2802403,2804607,88.67,221.68
2802403,2804805,146.13,365.32
2802403,2805406,85.67,214.18
2802403,2805604,33.36,83.4
2802403,2805703,59.51,148.78
2802403,2806701,159.82,399.55
2802403,2807105,148.09,370.23
2802403,2807402,198.86,497.15
2802403,2807600,236.33,590.83
2802502,2800308,52.05,130.12
2802502,2800605,49.15,122.88
2802502,2800670,114.44,286.1
2802502,2801009,83.7,209.25
2802502,2801207,171.04,427.6
2802502,2801306,33.01,82.52
2802502,2801405,130.02,325.05
2802502,2801702,149.66,374.15
2802502,2802106,101.09,252.73
2802502,2802304,96.56,241.4
2802502,2802908,73.4,183.5
2802502,2803005,153.67,384.17
2802502,2803203,68.0,170.0
2802502,2803500,110.33,275.82
2802502,2803609,32.78,81.95
2802502,2804508,92.01,230.03
2802502,2804607,44.28,110.7
2802502,2804805,43.58,108.95
2802502,2805406,144.87,362.18
2802502,2805604,153.18,382.95
