MEAN_X,MEAN_Y,ID_divisao,id_ordem
-37.09958744,-11.00182367,280030805_2800308039,144
-37.03296586,-10.90420151,280060505_2800605013,145
-37.02546333,-10.90641869,280060505_2800605016,146
-37.03576016,-10.89973222,280060505_2800605015,147
-37.0306569,-10.91005547,280060505_2800605017,148
-37.53965851,-11.49412153,280280905_.,149
-37.50455745,-10.7571789,280100905_.,150
-37.22812233,-10.63575334,280650305_.,151
-37.20580468,-10.97141678,280670105_.,152
-37.08358572,-11.00664354,280030805_2800308041,153
-37.07756929,-10.88298436,280030805_2800308040,154
-37.13712451,-10.91063739,280480512_2804805500,155
-37.1336769,-11.06588886,280030805_2800308043,156
-37.09042057,-10.97791186,280030805_2800308042,157
-37.0843141,-10.90599741,280030805_2800308023,158
-37.05646547,-10.85604386,280480515_.,159
-37.06095868,-10.91015476,280030805_2800308022,160
-37.75725686,-11.48629092,280170205_.,161
-37.85488162,-11.4009565,280750105_.,162
-37.09655684,-10.89629068,280030805_2800308025,163
-37.09980527,-10.90210497,280030805_2800308024,164
-37.02647203,-10.90311138,280060505_2800605020,165
-37.08345681,-10.89556023,280030805_2800308027,166
-37.03078265,-10.9255826,280060505_2800605001,167
-37.09556894,-10.88923626,280030805_2800308026,168
-37.06460125,-10.89571274,280030805_2800308029,169
-37.02984396,-10.94292969,280060505_2800605003,170
-36.47296104,-10.44749302,280070405_.,171
-36.64310189,-10.510121,280490405_.,172
-37.07086565,-10.89875704,280030805_2800308028,173
-37.03426999,-10.90853382,280060505_2800605002,174
-37.03850587,-10.90223937,280060505_2800605005,175
-37.03669597,-10.91239454,280060505_2800605004,176
-37.10823235,-10.59357711,280720405_.,177
-37.66058495,-10.9178632,280350005_2803500010,178
-37.0286416,-10.91445139,280060505_2800605007,179
-37.01241689,-10.9218239,280060505_2800605006,180
-37.12923455,-10.84220527,280480513_2804805501,181
-37.6735295,-10.92706096,280350005_2803500012,182
-37.01326939,-10.91581274,280060505_2800605009,183
-37.67976647,-10.91988392,280350005_2803500011,184
-37.03471485,-10.90587833,280060505_2800605008,185
-37.1259697,-10.88995986,280480516_2804805513,186
-37.66714902,-10.91140843,280350005_2803500013,187
-37.21085627,-10.47512451,280460705_.,188
-37.07837894,-10.84809459,280480509_.,189
-37.60699078,-10.06110393,280420105_.,190
-37.11086593,-10.89805825,280480516_2804805516,191
-37.80503085,-10.56203466,280520805_.,192
-37.15908428,-10.68240877,280200705_.,193
-37.99697593,-11.17098053,280740205_2807402009,194
-38.00110345,-11.17905244,280740205_2807402008,195
-37.06136763,-10.89405503,280030805_2800308030,196
-37.0576011,-10.87690058,280030805_2800308032,197
