CD_setor,pop_15_59_ajustada,pop_60_plus_ajustada,leitos_clinicos_15_59,leitos_cirurgicos_15_59,leitos_clinicos_60+,leitos_cirurgicos_60+,necessidade_total_leitos
280530705000025,29.534036306614407,9.723433328787369,2.6492030567033122,2.285934410131955,5.209426640231122,1.9680229057465632,0.04609051374738567
280530705000026,26.675903760813014,11.884196290740116,2.392828567344927,2.0647149510869274,6.367077004726926,2.405361329245799,0.05034239669864757
280530705000028,20.00692782060976,3.241144442929123,1.7946214255086956,1.5485362133151954,1.7364755467437074,0.6560076352488544,0.021825117278601418
280530705000029,61.92620515903021,3.241144442929123,5.55478060276501,4.793088279308938,1.7364755467437074,0.6560076352488544,0.04847926965017697
280530705000030,53.35180752162603,14.044959252692866,4.785657134689854,4.129429902173855,7.524727369222732,2.8426997527450357,0.07337334154806498
280530705000031,77.16957873663766,8.643051847810995,6.922111212676398,5.972925394215754,4.63060145798322,1.749353693996945,0.07334471749951414
280530705000032,52.39909667302557,9.723433328787369,4.700198971570393,4.055690082492179,5.209426640231122,1.9680229057465632,0.060629142313699605
280530705000033,97.17650655724741,31.331062948314855,8.716732638185093,7.521461607530949,16.78593028518917,6.341407140738926,0.14979273847657584
280530705000034,91.46024146564463,43.21525923905497,8.203983659468323,7.079022689440894,23.153007289916097,8.746768469984724,0.17953874470627867
280530705000035,89.55481976844369,39.974114796125846,8.033067333229399,6.931543050077542,21.41653174317239,8.09076083473587,0.1692233750426758
280530705000036,224.8397602697097,65.90327033955883,20.16812649619296,17.40259744487553,35.308336117122046,13.338821916726705,0.328074132324647
280530705000039,146.71747068447158,59.420981453700584,13.160557120397101,11.3559322309781,31.835385023634633,12.026806646228996,0.2601928501569209
280530705000041,45.730120732822314,10.803814809763743,4.101991829734161,3.539511344720447,5.788251822479024,2.186692117496181,0.05942331474288361
280530705000042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280530705000043,100.0346391030488,33.4918259102676,8.973107127543479,7.742681066575977,17.943580649684975,6.778745564238161,0.15767927856941627
280530705000044,53.35180752162603,28.089918505385732,4.785657134689854,4.129429902173855,15.049454738445464,5.6853995054900714,0.11282321644139742
280540605000001,289.0645861703262,96.46553361441242,25.92909337947826,22.37359896958325,51.68237428925761,19.524624003557072,0.4547552916357542
280540605000003,267.36304066204343,53.90720996099518,23.982464747385297,20.693899347242162,28.881326808702784,10.910819296105423,0.32141746651231223
280540605000004,487.85074302619614,104.97719834509589,43.76021164944979,37.75964751022758,56.24258378536859,21.247384945047404,0.6050602278922883
