X,Y,MEAN_X,MEAN_Y,ID_divisao
-48.4347776788249,-22.8602603351693,-48.434777678824851,-22.860260335169325,350750605_3507506057
-51.0235646105291,-21.9935241314563,-51.023564610529078,-21.993524131456251,352920310_.
-49.7351425512374,-22.2075902791581,-49.735142551237374,-22.207590279158062,351670510_.
-48.457631808994,-22.8604033418302,-48.457631808994037,-22.860403341830228,350750605_3507506059
-48.4457901578113,-22.8582115160008,-48.445790157811281,-22.858211516000829,350750605_3507506054
-48.450504218288,-22.8591193220502,-48.450504218287954,-22.859119322050237,350750605_3507506053
-48.4531538612934,-22.8492578218654,-48.453153861293394,-22.849257821865422,350750605_3507506056
-44.89344278521,-22.5200924557089,-44.893442785209984,-22.520092455708923,352660510_.
-48.436890648159,-22.8541722899965,-48.436890648159014,-22.854172289996537,350750605_3507506055
-50.3915567332475,-22.3395303554817,-50.391556733247505,-22.339530355481724,352790005_.
-48.4509948032767,-22.8639711352574,-48.450994803276679,-22.863971135257390,350750605_3507506050
-48.4432017241898,-22.8525262836858,-48.443201724189791,-22.852526283685830,350750605_3507506052
-48.4411868856587,-22.8619059614208,-48.441186885658738,-22.861905961420845,350750605_3507506051
-49.0004871793441,-21.1436987601014,-49.000487179344134,-21.143698760101419,351110205_3511102104
-48.9760561094723,-21.1633342109057,-48.976056109472268,-21.163334210905745,351110205_3511102103
-49.0164066129384,-21.1253663961788,-49.016406612938439,-21.125366396178755,351110205_3511102106
-45.9639580964057,-23.2983705116128,-45.963958096405733,-23.298370511612809,352440205_.
-49.0340615414917,-21.1291997290539,-49.034061541491745,-21.129199729053870,351110205_3511102105
-48.9399060901218,-21.1539079511655,-48.939906090121831,-21.153907951165461,351110205_3511102100
-51.6565889681742,-21.9798717369133,-51.656588968174241,-21.979871736913328,354770005_.
-46.3912877754948,-23.1877581459623,-46.391287775494810,-23.187758145962313,353240505_.
-48.9742314732366,-21.1652643042832,-48.974231473236571,-21.165264304283244,351110205_3511102102
-48.9752183708039,-21.167799334982,-48.975218370803894,-21.167799334981996,351110205_3511102101
-48.0773508088138,-21.3587802210822,-48.077350808813812,-21.358780221082192,354090305_.
-46.0647549275884,-23.3932654974615,-46.064754927588417,-23.393265497461467,351830505_.
-46.9838655352905,-21.4859395171875,-46.983865535290519,-21.485939517187450,353050805_3530508032
-46.991018737814,-21.4590685931922,-46.991018737813953,-21.459068593192196,353050805_3530508031
-49.0221183439738,-24.6285448661191,-49.022118343973787,-24.628544866119086,354280005_.
-49.4402850885842,-22.1004167007119,-49.440285088584211,-22.100416700711868,354110905_.
-47.0147492375158,-21.4611573499803,-47.014749237515758,-21.461157349980329,353050805_3530508030
-48.4484082169453,-22.8702899022457,-48.448408216945275,-22.870289902245666,350750605_3507506047
-48.4687112184341,-22.862514409295,-48.468711218434109,-22.862514409294988,350750605_3507506046
-48.4479426946955,-22.8666470522516,-48.447942694695513,-22.866647052251587,350750605_3507506049
-49.6048466367525,-23.2032925706483,-49.604846636752541,-23.203292570648312,355460705_.
-48.4448605158117,-22.8673963836453,-48.444860515811655,-22.867396383645350,350750605_3507506048
-51.4989718827278,-22.2782842236248,-51.498971882727837,-22.278284223624755,353920205_.
-48.4628347159507,-22.8588928322179,-48.462834715950727,-22.858892832217908,350750605_3507506043
-48.4565098802001,-22.8669425998427,-48.456509880200109,-22.866942599842684,350750605_3507506042
-48.4590561958805,-22.8556280735921,-48.459056195880528,-22.855628073592143,350750605_3507506045
-48.4651769507556,-22.852480386977,-48.465176950755612,-22.852480386977035,350750605_3507506044
-48.9901849753869,-21.1772770902488,-48.990184975386931,-21.177277090248808,351110205_3511102108
-48.9971076081792,-21.1309801204983,-48.997107608179206,-21.130980120498329,351110205_3511102107
-48.4524010788621,-22.8692698306875,-48.452401078862053,-22.869269830687522,350750605_3507506041
-48.4602040753632,-22.8644038203635,-48.460204075363151,-22.864403820363538,350750605_3507506040
-48.9844940792371,-21.1134352859012,-48.984494079237137,-21.113435285901225,351110205_3511102109
-44.9619229871258,-22.5722131855,-44.961922987125753,-22.572213185500040,351340505_.
-46.6960796055481,-23.4860500265884,-46.696079605548078,-23.486050026588394,355030829_.
-47.0113423878291,-21.4713123145782,-47.011342387829082,-21.471312314578174,353050805_3530508021
-47.0236705304882,-21.4698384679403,-47.023670530488232,-21.469838467940328,353050805_3530508020
-47.0087167873957,-21.4647760773862,-47.008716787395691,-21.464776077386205,353050805_3530508023
-47.012470478346,-21.4671089548875,-47.012470478345968,-21.467108954887451,353050805_3530508022
-49.9763312667496,-20.4173107293281,-49.976331266749597,-20.417310729328065,355710505_.
